GOVPROTCT,UNITY,MOREGUNIMPACT,RELIG,BORN,RELIMP,ATTENDPER,PRAY,PUBLICACTS_a_W159,PUBLICACTS_b_W159,PUBLICACTS_c_W159,PUBLICACTS_d_W159,PUBLICACTS_f_W159,PUBLICACTS_g_W159,PUBLICACTS_h_W159,PUBBREASTFEED_W159,PARTYSUM,F_IDEO,REGISTRATION,VET1,VOL12_CPS,BIRTHPLACE,INTFREQ,SMUSE_FB,SMUSE_X,SMUSE_TT,SMUSE_TS,COMTYPE2,AGECAT,GENDER,RACETHN,HISP,F_EDUCCAT2,INC_SDT1,F_MARITAL,ADULTS,CREGION,F_CDIVISION,METRO,RELIGCAT1,F_HISP_ORIGIN
1,2,2,2,1,2,2,1,3,4,5,3,3,3,4,1,1,2,1,2,1,1,2,1,2,2,2,3,3,2,3,1,3,5,1,2,4,9,2,2,9
2,2,1,11,2,1,5,4,3,4,4,3,3,3,4,1,2,4,1,4,2,1,2,2,2,2,2,3,2,1,5,2,3,4,1,2,4,9,2,4,1
1,2,2,2,2,2,2,1,3,3,3,3,3,3,4,1,1,2,1,4,1,1,2,1,2,2,2,3,3,2,3,1,5,4,3,1,4,9,2,2,1
2,2,1,11,2,2,5,3,3,4,4,3,3,3,5,1,2,4,1,4,1,1,2,1,2,1,2,3,2,2,5,2,4,4,1,2,4,9,2,4,9
1,2,2,2,2,4,4,3,4,3,4,4,4,3,5,2,1,2,1,4,2,1,2,1,2,2,1,3,4,2,3,1,2,2,1,2,4,9,2,2,1
1,2,2,12,2,2,6,7,3,4,4,3,5,3,4,2,1,2,1,4,2,1,2,2,2,2,2,3,2,2,3,1,4,4,3,1,4,9,2,3,1
2,2,1,11,2,1,5,6,3,4,4,3,3,3,4,1,2,4,1,4,2,1,2,1,2,2,2,3,3,2,1,2,3,1,3,1,4,9,2,4,9
2,2,1,2,2,4,2,1,3,4,4,4,3,3,4,1,2,3,1,4,1,1,2,1,1,2,2,3,3,2,3,1,5,5,1,2,4,9,2,2,9
2,2,3,12,2,2,6,7,3,4,4,3,3,3,4,2,3,3,1,4,1,1,2,1,2,2,2,3,2,2,1,2,3,4,1,2,4,9,2,3,9
2,2,1,11,2,3,5,6,3,4,4,4,4,3,4,2,2,4,1,4,2,1,2,1,1,2,2,3,2,1,5,2,3,4,1,2,4,9,2,4,9
2,2,1,10,2,3,6,7,4,4,4,4,4,3,4,2,2,4,1,4,1,1,1,1,2,2,2,3,2,1,1,2,5,8,1,2,4,9,2,3,9
2,2,1,11,2,2,5,6,4,4,4,3,3,3,5,1,3,3,1,4,1,1,2,1,2,2,2,3,3,2,4,2,5,8,1,2,4,9,2,4,9
1,2,2,1,2,3,4,5,4,4,4,3,3,4,4,2,1,2,1,4,1,1,2,2,1,2,2,3,3,1,1,2,5,2,1,2,4,9,2,1,9
2,2,3,11,2,4,5,6,3,3,3,4,3,3,4,2,3,3,1,4,1,1,2,1,1,2,2,3,2,1,1,2,6,8,1,2,4,9,2,4,1
2,2,1,10,2,3,6,7,3,4,4,3,3,3,4,1,2,4,1,4,1,1,1,1,2,1,2,3,2,1,1,2,6,8,1,2,4,9,2,3,9
1,2,2,12,2,2,5,6,3,4,3,3,4,3,4,2,1,2,1,4,2,1,2,1,2,2,2,3,2,2,1,2,3,2,3,1,4,9,2,3,9
1,2,2,1,2,1,4,3,4,4,4,3,4,3,4,2,1,2,1,4,1,1,2,1,2,2,2,3,2,1,1,2,6,5,1,2,4,9,2,1,1
1,2,2,1,1,4,2,1,4,4,4,4,4,3,4,2,1,2,1,2,2,1,5,1,1,2,2,3,4,2,1,2,2,2,1,2,4,9,2,1,9
1,2,3,12,2,4,6,7,3,4,3,4,4,4,4,1,3,3,1,4,2,1,1,2,2,1,2,3,1,2,1,2,6,6,1,2,4,9,2,3,2
2,2,1,12,2,2,6,7,4,4,4,3,3,3,4,1,2,4,1,4,1,1,2,2,2,2,2,3,2,1,1,2,3,4,3,1,4,9,2,3,9
2,2,1,11,2,3,5,6,3,4,4,4,3,3,5,1,2,4,1,4,1,1,2,1,1,2,2,3,4,2,5,2,3,2,3,1,4,9,2,4,1
2,2,1,10,2,3,5,6,3,4,4,3,3,3,4,2,2,4,1,4,1,1,1,1,2,1,2,3,3,1,4,2,6,8,1,2,4,9,2,3,1
2,2,1,12,2,2,5,6,4,4,4,4,3,3,4,2,2,4,1,4,1,1,2,1,2,2,2,3,2,2,1,2,5,5,1,2,4,9,2,3,9
2,2,1,1,2,1,4,4,4,5,4,4,4,4,4,3,2,2,1,4,1,1,2,1,2,2,2,3,4,1,1,2,5,8,1,1,4,9,2,1,2
1,2,2,1,1,2,2,1,3,4,4,3,4,4,4,2,1,2,1,4,1,1,2,2,2,2,2,3,4,1,1,2,5,5,3,2,4,9,2,1,1
1,2,2,1,2,3,5,6,3,3,3,4,4,3,4,2,1,4,1,4,2,1,5,2,1,2,2,3,4,1,1,2,3,1,1,1,4,9,2,1,1
2,2,1,10,2,4,5,7,4,4,4,3,4,3,5,1,2,4,1,4,1,1,1,1,2,1,2,3,2,1,1,2,6,8,1,2,4,9,2,3,2
2,2,1,12,2,1,6,7,3,3,3,4,3,4,4,1,2,4,1,4,1,1,2,1,2,2,2,3,2,2,1,2,5,5,3,2,4,9,2,3,2
2,2,1,11,2,3,4,1,3,4,4,4,3,3,4,1,2,2,1,4,1,1,4,1,2,2,2,3,4,2,5,2,3,1,1,1,4,9,2,4,9
2,2,1,12,2,1,5,6,4,4,4,4,3,3,4,1,2,2,1,4,1,1,1,1,2,1,2,3,2,2,1,2,5,5,3,2,4,9,2,3,1
1,2,2,1,1,1,2,1,3,4,4,3,4,3,4,1,1,4,1,4,1,1,4,1,2,2,2,3,4,1,1,2,5,4,3,1,4,9,2,1,9
2,2,2,1,2,4,2,1,3,4,4,4,3,4,4,2,1,4,1,4,1,1,2,1,2,2,2,3,4,1,1,2,5,5,3,1,4,9,2,1,1
2,2,1,12,2,4,6,7,3,3,3,3,4,3,4,2,2,4,1,4,2,1,2,1,2,2,2,3,4,1,1,2,3,4,6,1,4,9,2,3,2
2,2,1,12,2,3,6,7,3,4,4,3,3,3,4,1,2,2,1,4,2,1,2,2,2,2,2,3,2,1,5,2,3,4,3,1,4,9,2,3,9
2,2,1,12,2,1,5,6,3,4,4,3,3,3,4,1,2,2,1,4,2,1,2,1,2,2,2,3,3,2,1,2,3,4,1,1,4,9,2,3,1
2,2,3,1,1,1,2,1,3,4,5,3,4,3,4,2,1,4,1,4,1,1,2,2,2,2,2,3,3,1,1,2,4,8,3,2,4,9,2,1,2
1,2,2,2,2,2,2,1,3,4,4,4,3,4,4,2,1,2,1,4,2,1,2,1,2,2,2,3,2,2,3,1,4,4,1,1,4,9,2,2,
2,2,1,2,2,1,4,3,4,5,5,4,4,3,4,2,2,4,1,4,2,1,2,1,2,2,2,3,2,1,3,1,2,2,1,2,4,9,2,2,
1,2,2,1,1,4,2,1,4,4,4,3,5,3,4,2,1,2,1,4,2,1,4,1,1,2,2,3,4,2,1,2,2,3,1,2,4,9,2,1,
2,2,1,12,2,2,6,7,3,4,4,4,4,3,4,1,2,4,1,4,1,1,1,1,1,2,2,3,2,2,1,2,5,6,1,2,4,9,2,3,
2,2,2,11,2,2,5,5,3,4,4,3,3,3,4,1,1,4,1,4,1,1,1,1,2,1,2,3,2,2,5,2,5,4,1,2,4,9,2,4,
2,2,1,11,2,2,4,6,3,4,4,3,3,3,4,1,2,4,1,4,1,1,2,1,2,2,2,3,4,2,3,1,5,4,1,2,4,9,2,4,
2,2,1,2,2,2,4,6,4,4,4,4,3,3,5,1,2,3,1,4,1,1,2,1,2,2,2,3,3,1,3,1,6,5,1,2,4,9,2,2,
2,2,1,7,2,1,4,6,4,4,5,4,4,3,5,2,2,4,1,4,1,1,2,1,2,2,2,3,3,2,4,2,5,5,1,2,4,9,2,4,
2,2,1,1,2,4,2,2,3,4,4,4,3,4,4,2,3,2,1,4,1,1,2,1,1,2,2,3,4,2,1,2,4,5,1,2,4,9,2,1,
2,2,1,12,2,1,6,7,3,4,5,3,3,3,4,2,2,2,1,4,1,1,1,1,2,1,2,3,2,1,1,2,6,5,3,2,4,9,2,3,
2,2,2,1,1,1,2,1,4,4,4,4,3,3,4,2,1,3,1,4,1,1,2,1,1,2,2,3,4,2,1,2,4,4,3,1,4,9,2,1,
1,2,2,1,1,3,2,2,3,4,5,3,4,4,4,2,1,2,1,4,2,1,2,1,2,2,2,3,3,1,1,2,6,1,1,1,4,9,2,1,
2,2,1,12,2,1,5,6,4,5,3,5,3,3,4,1,2,3,1,4,1,1,2,1,2,2,2,3,2,1,1,2,3,5,1,2,4,9,2,3,
1,2,2,1,1,3,2,1,3,4,4,3,5,3,4,2,1,2,1,4,1,1,2,1,2,2,2,3,1,2,1,2,3,4,1,2,4,9,2,1,
2,2,1,7,2,2,5,6,4,4,4,4,3,3,4,1,3,4,1,4,1,1,4,1,2,2,2,3,3,1,4,2,3,5,1,2,4,9,2,4,
1,2,2,1,1,3,4,4,3,4,3,3,3,4,4,2,1,3,1,4,2,1,4,2,1,2,2,3,4,1,1,2,4,4,3,2,4,9,2,1,
2,2,1,12,2,4,6,6,3,3,4,3,3,3,5,2,2,4,1,4,1,1,1,1,1,2,2,3,3,1,1,2,5,5,1,1,4,9,2,3,
2,2,3,12,2,2,6,7,3,4,4,4,4,3,4,1,3,2,1,4,2,1,1,1,2,1,2,3,1,1,1,2,3,2,1,2,4,9,2,3,
2,2,1,11,2,1,5,6,4,4,4,3,4,3,4,2,2,2,1,4,1,1,2,1,2,2,2,3,2,1,5,2,3,2,1,3,4,9,2,4,
1,2,2,1,1,1,2,2,4,4,4,3,3,3,4,3,1,2,1,4,1,1,2,2,1,2,2,3,2,1,1,2,5,7,1,2,4,9,2,1,
1,2,2,1,1,1,2,2,3,4,4,4,3,3,4,2,1,2,1,4,1,1,1,1,2,2,2,3,1,1,1,2,6,6,1,2,4,9,2,1,
2,2,2,1,2,2,2,1,4,4,4,3,3,4,4,2,1,4,1,4,1,1,2,1,2,2,2,3,4,2,3,1,4,5,1,2,4,9,2,1,
2,2,2,1,2,2,4,3,3,4,5,3,4,3,4,2,1,3,1,4,1,1,1,1,2,2,2,3,2,2,1,2,5,5,1,2,4,9,2,1,
2,2,1,1,2,1,4,3,4,5,4,4,4,3,4,1,2,3,1,4,1,1,2,1,2,2,2,3,4,2,1,2,5,5,1,2,4,9,2,1,
1,2,2,1,2,2,4,3,3,4,5,3,4,4,5,3,2,2,1,4,2,1,4,2,2,2,2,3,3,2,1,2,4,3,3,2,4,9,2,1,
2,2,1,11,2,1,4,5,4,4,4,3,3,3,4,1,3,2,1,4,1,1,2,1,1,2,2,3,4,2,5,2,3,3,3,1,4,9,2,4,
1,2,2,1,1,2,2,1,3,4,4,3,3,4,4,2,1,4,1,4,1,1,2,1,2,2,2,3,3,2,1,2,3,3,1,1,4,9,2,1,
2,2,2,1,2,4,4,6,3,4,4,4,3,3,4,2,1,4,1,4,1,1,4,1,2,2,2,3,4,1,1,2,3,6,1,2,4,9,2,1,
2,2,3,12,2,2,6,7,3,4,4,4,3,3,4,2,2,4,1,4,1,1,2,1,2,2,2,3,4,1,1,2,5,8,1,2,4,9,2,3,
2,2,1,2,2,3,4,3,3,4,4,3,3,3,4,1,2,4,1,2,1,1,2,1,2,2,2,3,3,2,3,1,5,5,1,2,4,9,2,2,
2,2,1,12,2,3,5,6,3,4,4,3,4,3,5,1,2,4,1,4,1,1,2,1,2,2,2,3,2,1,1,2,5,5,1,2,4,9,2,3,
2,2,1,12,2,3,5,6,3,4,4,3,4,4,4,2,2,2,1,4,1,1,2,1,1,2,2,3,2,2,1,2,5,5,1,2,4,9,2,3,
2,2,1,10,2,3,5,6,3,4,4,3,3,3,4,1,2,3,1,4,1,1,1,1,2,1,2,3,1,1,1,2,6,5,3,2,4,9,2,3,
1,2,2,12,2,2,5,6,3,3,4,3,3,3,4,2,1,3,1,4,2,1,2,1,2,2,2,3,2,1,1,2,3,1,1,1,4,9,2,3,
2,2,3,2,2,1,4,3,3,4,4,4,3,3,4,1,3,3,1,4,1,1,2,1,2,2,2,3,1,2,1,2,5,4,3,2,4,9,2,2,
2,2,1,2,2,2,4,1,3,4,4,4,3,3,5,1,3,2,1,4,1,1,4,1,2,2,2,3,3,2,3,1,2,1,1,1,4,9,2,2,
1,2,2,2,2,4,5,6,4,3,4,3,3,3,4,2,3,4,1,4,2,1,3,1,1,2,2,3,4,1,3,1,2,1,4,2,4,9,2,2,
1,2,2,12,2,3,6,7,4,4,4,4,4,3,3,2,1,2,1,4,2,1,2,1,2,2,1,3,2,1,1,2,3,1,1,1,4,9,2,3,
2,2,3,10,2,2,5,6,3,4,3,3,3,3,4,2,2,4,1,4,1,1,2,1,2,2,2,3,3,1,1,2,5,6,3,2,4,9,2,3,
1,2,2,2,2,3,5,6,3,3,3,3,3,3,4,2,1,4,1,4,2,1,2,2,1,2,2,3,3,1,3,1,6,1,1,1,4,9,2,2,
2,2,1,10,2,4,5,7,3,3,4,3,3,3,4,1,2,3,1,4,1,1,1,1,1,2,2,3,2,1,1,2,5,8,1,2,4,9,2,3,
2,2,1,10,2,1,6,7,3,4,4,4,4,3,4,1,2,2,1,4,2,1,1,1,2,1,2,3,2,1,1,2,5,8,1,2,4,9,2,3,
2,2,1,2,2,2,2,1,3,4,4,3,3,3,5,1,3,4,1,4,1,1,2,1,2,2,2,3,1,1,3,1,2,3,1,2,4,9,2,2,
1,2,2,1,2,2,4,6,3,4,4,3,3,3,4,2,1,2,1,4,2,1,2,1,2,2,2,3,2,1,1,2,3,6,3,2,4,9,2,1,
2,2,1,1,2,3,4,4,3,4,4,3,3,3,4,1,2,4,1,4,1,1,2,1,2,2,2,3,3,2,1,2,4,4,3,1,4,9,2,1,
1,2,2,10,2,2,6,7,3,4,4,4,3,4,4,2,1,2,1,4,2,1,4,2,2,2,2,3,3,1,1,2,6,3,1,1,4,9,2,3,
2,2,1,11,2,1,4,6,3,4,4,3,4,3,4,1,2,4,1,4,1,1,2,1,2,2,2,3,3,1,3,1,5,8,1,2,4,9,2,4,
1,2,2,1,1,3,2,1,3,4,4,3,3,4,4,3,1,3,1,4,1,1,4,1,1,2,2,3,4,2,1,2,3,2,6,2,4,9,2,1,
2,2,1,10,2,2,6,7,3,4,4,3,3,3,4,1,2,2,1,4,1,1,1,1,2,1,2,3,2,2,1,2,5,1,1,1,4,9,2,3,
2,2,1,1,2,1,4,3,4,4,4,3,4,3,4,1,3,4,1,4,1,1,2,2,2,2,2,3,4,1,1,2,6,5,1,2,4,9,2,1,
1,2,2,1,1,1,2,1,3,4,4,4,3,4,4,2,1,3,1,4,1,1,2,1,2,2,2,3,3,2,1,2,3,3,1,2,4,9,2,1,
2,2,1,2,2,3,2,1,3,4,5,3,4,4,5,2,2,2,1,4,1,1,2,1,2,2,2,3,3,2,3,1,5,5,3,2,4,9,2,2,
2,2,3,12,2,1,5,6,4,5,4,4,3,3,4,2,3,4,1,4,2,1,4,2,2,2,2,3,4,2,1,2,3,1,1,1,4,9,2,3,
1,1,2,1,1,2,2,1,3,4,4,3,4,3,5,2,1,2,1,4,1,1,2,1,2,2,2,3,3,2,1,2,4,4,1,2,4,9,2,1,
2,2,1,1,2,1,4,4,3,4,4,3,3,3,4,1,2,2,1,2,1,1,2,2,2,2,2,3,3,2,1,2,6,5,1,2,4,9,2,1,
2,2,3,2,2,2,2,1,4,4,4,4,3,3,4,2,1,2,1,4,1,1,2,1,2,2,2,3,2,1,3,1,5,5,3,2,4,9,2,2,
1,2,2,1,2,2,4,6,3,4,3,3,4,3,4,2,1,4,1,4,2,1,4,1,2,2,2,3,4,2,1,2,3,5,1,1,4,9,2,1,
1,2,2,1,2,3,4,3,3,4,,4,4,3,4,1,1,,1,4,1,1,2,1,1,2,2,3,2,2,1,2,5,6,1,2,4,9,2,1,
2,2,1,10,2,,6,7,,,,,3,3,4,1,2,,1,4,1,1,1,1,,1,2,3,2,1,1,2,6,6,,2,4,9,2,3,
